             43
   3.77100010E+25   0.00000000    
   2.98500001E+25   0.00000000    
   2.34599996E+25   0.00000000    
   1.82800005E+25   0.00000000    
   1.40900001E+25   1.64849999E-24
   1.07200002E+25   2.62770001E-24
   8.01500020E+24   2.75670007E-24
   5.88100014E+24   2.99440003E-24
   4.23599992E+24   3.24719998E-24
   3.00499997E+24   3.44030011E-24
   2.10500005E+24   3.59749997E-24
   1.45600007E+24   3.76149982E-24
   9.97200000E+23   3.97570001E-24
   6.79699973E+23   4.28620000E-24
   4.61400015E+23   4.72740004E-24
   3.10800004E+23   5.31200001E-24
   2.07400004E+23   6.04849988E-24
   1.37100003E+23   6.98570016E-24
   8.95599963E+22   8.23620010E-24
   5.76199994E+22   9.98060033E-24
   3.63600007E+22   1.24650002E-23
   2.24400003E+22   1.60360008E-23
   1.35500005E+22   2.12380004E-23
   8.03799985E+21   2.88970005E-23
   4.70800000E+21   4.03379985E-23
   2.73299986E+21   5.75949997E-23
   1.57999997E+21   8.33220005E-23
   9.13500015E+20   1.20510002E-22
   5.32900002E+20   1.71659995E-22
   3.15300001E+20   2.39240005E-22
   1.86500007E+20   3.31710003E-22
   1.08399998E+20   4.66729996E-22
   6.19600003E+19   6.66970006E-22
   3.50599997E+19   9.64519958E-22
   1.97200005E+19   1.41400003E-21
   9.07200007E+18   2.81960001E-21
   2.46400006E+18   8.50819964E-21
   6.13099984E+17   1.57790001E-20
   1.49700003E+17   1.91779999E-20
   4.18499981E+16   2.01419998E-20
   1.34399996E+16   2.05930006E-20
   4.80000015E+15   2.02319993E-20
   1.74100002E+15   2.03620007E-20
